epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,937.278,3.11857,4.92464,1.09492,0.23247,0.15043,0.08367,0.0301,3.03354,3.80104,1.03593,0.000369462,0.000369462,0.000369462
2,2090.99,3.02698,3.49497,1.02965,0.34898,0.13511,0.11327,0.05136,2.79031,3.23482,0.99761,0.000495663,0.000495663,0.000495663
3,3455.32,2.89356,3.14684,0.99744,0.36293,0.20564,0.15274,0.07218,2.67159,2.86653,0.9738,0.000377444,0.000377444,0.000377444
